name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
7/10 Payne Street Caulfield North VIC 3161,$325,"[-37.8780094, 145.0338135]","['1 Bed', '1 Bath', '1 Parking']","Located in quiet leafy cul-de sac this generous ground floor, ONE bedroom apartment offers an excellent floor plan. 
Entrance hall, separate large modern kitchen with meals area, spacious living area with heating, generous bedroom with BIR's and a fully renovated bathroom with laundry facilities.","Monday, 3rd October 2022",Apartment / Unit / Flat,"['0.8 km away', '0.9 km away', '6 km away']"
7/54 Tennyson Street Elwood VIC 3184,$400 Per Week,"[-37.8739709, 144.9877105]","['1 Bed', '1 Bath', '1 Parking']",Hudson Keppell,Available Now,Apartment / Unit / Flat,"['0.5 km away', '0.9 km away', '5.8 km away']"
1110/8 Marmion Place Docklands VIC 3008,$470 per week,"[-37.8133446, 144.9425312]","['1 Bed', '1 Bath', '1 Parking']","Well located in the stylish H1 complex right in the heart of the NewQuay precinct, this modern and relaxed one bedroom apartment has been lovingly maintained and is ready to be your next home! Harbour One offers fantastic facilities which include a library lounge, media room, and gym.
 Features an enviable northerly aspect
 Open living and meals zone boasts fantastic natural light
 North-facing","Tuesday, 1st November 2022",Apartment / Unit / Flat,['2.2 km away']
1/2 Greenfield Drive Clayton VIC 3168,$340,"[-37.92322, 145.1286599]","['1 Bed', '1 Bath', '1 Parking']","This ground floor 1 bedroom apartment features a study area/dining area and an open plan living/kitchen area leading out to the front courtyard for indoor/outdoor entertainment. Featuring well presented kitchen with European stainless steel appliances including dishwasher and gas cooking, main bathroom with laundry facilities and security entrance with intercom. Also features undercover car space",Available Now,Apartment / Unit / Flat,"['1 km away', '1.3 km away', '2 km away']"
1412/4 Joseph Road Footscray VIC 3011,$400 per week,"[-37.799683, 144.9097085]","['1 Bed', '1 Bath', '1 Parking']",Mary Mezei,"Friday, 14th October 2022",Apartment / Unit / Flat,"['1.1 km away', '1.7 km away', '5.3 km away']"
1/296 Inkerman St St Kilda East VIC 3183,$385 weekly,"[-37.8662594, 145.0010205]","['1 Bed', '1 Bath', '1 Parking']",Leasing Concierge,"Wednesday, 12th October 2022",Apartment / Unit / Flat,"['1 km away', '2.3 km away', '6.1 km away']"
1/7 Washington Street Toorak VIC 3142,$520.00,"[-37.8376024, 145.0066483]","['1 Bed', '1 Bath', '1 Parking']","This light-filled Art Deco apartment is perfectly located in a boutique development of only six, within one of the most highly sought after pockets of Toorak. Featuring a well-equipped kitchen with quality appliances, gas cooking and ample cupboard space, which seamlessly flows out into the spacious living and dining area with split system heating and cooling. This impressive apartment offers a",Available Now,Apartment / Unit / Flat,"['0.9 km away', '1.8 km away', '2.1 km away']"
1404/4 Joseph Road Footscray VIC 3011,$410 per week,"[-37.799683, 144.9097085]","['1 Bed', '1 Bath', '1 Parking']",Mary Mezei,"Friday, 28th October 2022",Apartment / Unit / Flat,"['1.1 km away', '1.7 km away', '5.3 km away']"
202/89 Atherton Road Oakleigh VIC 3166,$410.00 Per Week,"[-37.8991923, 145.0943323]","['1 Bed', '1 Bath', '1 Parking']","A sleek, stylish, and sophisticated offering, this executive single-room entertainer stands on the cusp of Oakleigh's entertainment district, with eateries, boutique stores, and Oakleigh station metres from your door.","Wednesday, 28th September 2022",Apartment / Unit / Flat,"['0.7 km away', '2.6 km away', '4.2 km away']"
4/22 Crimea Street St Kilda VIC 3182,$300 per week,"[-37.8591406, 144.988399]","['1 Bed', '1 Bath', '1 Parking']",Neil Scott,"Monday, 3rd October 2022",Apartment / Unit / Flat,"['0.7 km away', '0.9 km away', '4.8 km away']"
