name,postcode,property_type,bedrooms,bathrooms,parking,schools,cost_text,train_station(m),CBD(m),population2022,population2023,population2024,population2025,income2022,income2023,income2024,income2025
13 Blackwood Lane Mount Duneed VIC 3217,3217,Townhouse,3,2,2,0.7,$500 per week,4150.1,89922.1,75097.0,78164.0,81416.0,84863.0,292870,307583,323184,339736
13 Canterbury Road East Lara VIC 3212,3212,House,3,1,5,0.4,$370 per week,3902.8,65961.8,20108.0,20454.0,20806.0,21164.0,66236,68937,71748,74674
6 Carmel Court Frankston VIC 3199,3199,House,3,1,1,0.6,$420,3548.6,54524.0,60500.0,59711.0,58932.0,58164.0,176387,182176,188161,194348
7B York Street Brighton VIC 3186,3186,Townhouse,2,2,1,0.2,$630.00,773.5,12817.0,23358.0,22572.0,21812.0,21078.0,69402,71772,74223,76758
28 Bourke Street Whittlesea VIC 3757,3757,House,3,1,1,1.1,$390 per week,22703.5,49671.7,4749.0,4861.0,4977.0,5098.0,104678,105504,106339,107183
15 Lord Street Richmond VIC 3121,3121,House,2,2,1,0.4,$675 per week,1713.9,4684.2,33700.0,32500.0,31343.0,30227.0,82185,86074,90147,94413
9 Jason Close Berwick VIC 3806,3806,House,4,2,1,0.7,$480 per week,3367.6,47556.0,31707.0,31327.0,30953.0,30585.0,119038,123105,127312,131664
603/64 Wests Road Maribyrnong VIC 3032,3032,Apartment / Unit / Flat,2,2,2,1.1,$600,4664.8,9893.0,35686.0,34957.0,34252.0,33571.0,199379,207294,215524,224082
44 Highlands Road Thomastown VIC 3074,3074,Townhouse,2,1,1,0.4,$420,560.7,17023.1,3952.0,3807.0,3667.0,3532.0,51381,53067,54808,56606
6 Kadana Street Glenroy VIC 3046,3046,Townhouse,3,2,2,0.9,$510 per week,1638.0,13536.9,46849.0,45831.0,44838.0,43867.0,188361,195851,203646,211758
6 Wanderer Court Werribee VIC 3030,3030,House,3,1,1,0.4,$350,3691.2,30903.5,83884.0,84882.0,85970.0,87152.0,250099,257670,265481,273539
13 Conifer Avenue Brooklyn VIC 3012,3012,House,4,1,2,4.9,$340 per week,4827.8,12802.1,41123.0,40240.0,39379.0,38541.0,248981,258941,269322,280142
503/469 High St Northcote VIC 3070,3070,Apartment / Unit / Flat,2,1,1,0.6,$550 Per Week,409.7,7342.5,26596.0,25814.0,25056.0,24319.0,75006,78464,82081,85865
37 Barron Street Tarneit VIC 3029,3029,Townhouse,2,2,1,0.8,$350 per week,2162.1,27928.7,100224.0,104172.0,108388.0,112884.0,169694,173516,177436,181457
35 Eldridge Street Footscray VIC 3011,3011,House,3,1,1,0.4,$465,1971.2,8783.2,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059
105/52 O'Sullivan Road Glen Waverley VIC 3150,3150,Apartment / Unit / Flat,2,2,1,0.2,$500 pw,578.1,25171.2,41102.0,39982.0,38898.0,37848.0,115823,119374,123056,126874
309/52-54 O'Sullivan Road Glen Waverley VIC 3150,3150,Apartment / Unit / Flat,2,2,1,0.2,$580 pw,578.1,25171.2,41102.0,39982.0,38898.0,37848.0,115823,119374,123056,126874
27 Lockton Avenue Reservoir VIC 3073,3073,House,3,1,3,1.2,$435 per week,4691.6,15943.5,44917.0,43681.0,42480.0,41315.0,110619,115138,119847,124755
31 Birdie View Cranbourne North VIC 3977,3977,House,4,3,2,0.5,$650,2189.6,46644.8,151306.0,158304.0,165983.0,174412.0,430078,446475,463552,481340
A/27 Albert Facey Street Maidstone VIC 3012,3012,Townhouse,3,2,2,0.6,Enquire Now: $580 Per Week,2385.7,9738.1,41123.0,40240.0,39379.0,38541.0,248981,258941,269322,280142
